Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
270000,269346,247000,298000,0,2148 Junewood Ln,3,3,1694,159,1,2614,Sqft,2013,157,,https://www.movoto.com/home/2148-junewood-ln-morrisville-nc-27560-413_2335429
385000,433452,386000,465000,0,437 Liberty Hill Pass,4,3,2643,146,8,4356,Sqft,2015,72,,https://www.movoto.com/home/437-liberty-hill-pass-morrisville-nc-27560-413_2334008
295000,319594,296000,335000,0,1001 Epiphany Rd,3,3,2189,135,9,2265,Sqft,2018,140,,https://www.movoto.com/home/1001-epiphany-rd-morrisville-nc-27560-413_2150532
275000,266720,243000,293000,0,5417 Jessip St,3,3,1667,165,9,2657,Sqft,2015,143,,https://www.movoto.com/home/5417-jessip-st-morrisville-nc-27560-413_2333843
390000,490266,389000,508000,0,2023 Addenbrock Dr,4,3,2594,150,16,7841,Sqft,2007,65,,https://www.movoto.com/home/2023-addenbrock-dr-morrisville-nc-27560-413_2332569
370000,385560,319000,448000,0,116 Malvern Hill Ln,3,3,2295,161,16,9583,Sqft,2004,33,,https://www.movoto.com/home/116-malvern-hill-ln-morrisville-nc-27560-413_2332425
375000,415329,336000,465000,0,1048 Gold Rock Ln,3,3,2487,151,23,4356,Sqft,2007,70,,https://www.movoto.com/home/1048-gold-rock-ln-morrisville-nc-27560-413_2180300
244000,238302,215000,259000,0,1613 Grace Point Rd,3,3,1471,166,23,2614,Sqft,2010,126,,https://www.movoto.com/home/1613-grace-point-rd-morrisville-nc-27560-413_2331092
420000,0,386000,502000,10000,1940 Weaver Forest Way,4,3,2697,156,23,0.28,Acres,2010,49,,https://www.movoto.com/home/1940-weaver-forest-way-morrisville-nc-27560-413_2331077
285000,352779,285000,409000,0,711 Keystone Park Dr #69,4,4,2247,127,27,1699,Sqft,2009,154,,https://www.movoto.com/home/711-keystone-park-dr-apt-69-morrisville-nc-27560-413_2330393
314800,367536,307000,421000,0,127 Station Dr,4,3,2418,130,29,3920,Sqft,2011,30,,https://www.movoto.com/home/127-station-dr-morrisville-nc-27560-413_2329850
325000,292250,250000,326000,0,105 Downing Grove Ct,3,2,1750,186,33,9583,Sqft,2001,33,,https://www.movoto.com/home/105-downing-grove-ct-morrisville-nc-27560-413_2329062
347000,327534,290000,388000,0,120 Prestonian Pl,3,3,2073,167,36,2614,Sqft,1999,205,,https://www.movoto.com/home/120-prestonian-pl-morrisville-nc-27560-413_2328662
300000,335616,280000,389000,0,5539 Jessip St,3,3,2208,136,36,3136,Sqft,2016,143,,https://www.movoto.com/home/5539-jessip-st-morrisville-nc-27560-413_2328568
409900,395000,368000,410000,0,2029 Kirkhaven Rd,3,3,2500,164,37,6970,Sqft,2012,49,,https://www.movoto.com/home/2029-kirkhaven-rd-morrisville-nc-27560-413_2328473
360000,372297,324000,401000,0,1204 Midvale Ave,3,3,1929,187,44,3485,Sqft,2018,108,,https://www.movoto.com/home/1204-midvale-ave-morrisville-nc-27560-413_2326788
429900,461125,417000,524000,10000,155 Prestonian Pl,3,3,2975,145,49,3485,Sqft,1999,205,,https://www.movoto.com/home/155-prestonian-pl-morrisville-nc-27560-413_2326058
385000,419566,352000,487000,0,1004 Oatney Ridge Ln,4,4,2606,148,58,5227,Sqft,2015,70,,https://www.movoto.com/home/1004-oatney-ridge-ln-morrisville-nc-27560-413_2324102
344999,348096,288000,404000,5000,300 Valley Glen Dr,3,3,2072,167,68,10454,Sqft,2002,33,,https://www.movoto.com/home/300-valley-glen-dr-morrisville-nc-27560-413_2322217
369900,403333,347000,447000,3000,1028 Gold Rock Ln,3,3,2569,144,75,4356,Sqft,2007,70,,https://www.movoto.com/home/1028-gold-rock-ln-morrisville-nc-27560-413_2188334
475000,285768,277000,475000,360000,808 Church St,4,2,1764,269,273,2.50,Acres,1981,0,,https://www.movoto.com/home/808-church-st-morrisville-nc-27560-413_2275343
